MAL_ID,Name,Score,Genres,English_name,Type,Episodes,Aired,Premiered,Studios,Source,Ranked,Popularity,Themes,Synopsis
31540,Sekkou Boys,6.29,"Music, Comedy",Sekko Boys,TV,12,"Jan 8, 2016 to Mar 25, 2016",Winter 2016,LIDENFILMS,Original,6941,2349,,
36318,Quanzhi Fashi II,6.72,"Action, Magic, Fantasy, School",Unknown,ONA,12,"Sep 15, 2017 to Dec 1, 2017",Unknown,Unknown,Novel,4808,2350,,
5460,Detective Conan Movie 13: The Raven Chaser,8.24,"Action, Police, Mystery, Shounen",Detective Conan:The Jet Black Chaser,Movie,1,"Apr 18, 2009",Unknown,Tokyo Movie Shinsha,Manga,267,2351,,
1257,Saint Seiya: Meiou Hades Juuni Kyuu-hen,8.06,"Adventure, Sci-Fi, Shounen",Saint Seiya:The Hades Chapter - Sanctuary,OVA,13,"Nov 9, 2002 to Jul 25, 2003",Unknown,Toei Animation,Manga,466,2352,,
1813,Genshiken OVA,7.66,"Parody, Slice of Life, Comedy",Unknown,OVA,3,"Dec 22, 2006 to Apr 25, 2007",Unknown,Ajia-Do,Manga,1124,2353,,
37981,Kaijuu no Kodomo,7.13,"Drama, Mystery, Seinen, Supernatural",Children of the Sea,Movie,1,"Jun 7, 2019",Unknown,Studio 4°C,Manga,3070,2354,,
35237,Hajimete no Gal: Hajimete no Bunkasai,6.48,"Comedy, Romance, Ecchi, School, Shounen",Unknown,OVA,1,"Dec 26, 2017",Unknown,NAZ,Manga,6012,2355,,
5597,Natsu no Arashi!,7.28,"Comedy, Romance, Supernatural",Unknown,TV,13,"Apr 6, 2009 to Jun 29, 2009",Spring 2009,Shaft,Manga,2412,2356,,
24011,Lance N,5.52,Fantasy,Lance N,TV,12,"Oct 2, 2015 to Dec 18, 2015",Fall 2015,Studio Gokumi,Light novel,9622,2357,,
34966,Jigoku Shoujo: Yoi no Togi,6.54,"Horror, Mystery, Psychological, Supernatural",Hell Girl:Fourth Twilight,TV,6,"Jul 15, 2017 to Aug 19, 2017",Summer 2017,Studio Deen,Original,5677,2358,,
